Speciality,Speciality_Image
Oncology,medical-oncology_0.png
Cardiac Surgery,adult-cardiac-surgery.png
Cardiology,cardiology-adult.png
Diabetology,diabetes-treatment-india_0.png
Surgery,general-surgery.png
Radiology,Radiology.png
Anaesthesia,anaesthesia-critical-care-services.png
Urology,urology_0.png
Dermatology,dermatology-cosmetology-treatment.png
Emergency medicine,emergency-trauma-care.png
Obstetrics and Gynecology,obstetrics-gynaecology.png
Gastroenterology,gastroenterology-surgical_0.png
Neurology,neurology_0.png
Pulmonology,pulmonology-treatment_0.png
Internal medicine,internal-medicine.png
Family medicine,family-medicine-care.png
Plastic surgery,plastic-surgery.png
Psychiatry,psychiatric-care.png
Pediatrics,child-care_0_0.png
Neurosurgery,neurosurgery_0.png
Otolaryngology,ent-treatment.png
Orthopedic surgery,orthopaedic-services.png
Ophthalmology,eye-care.png
Oral and Maxillofacial Surgery,cranio-maxillo-facial-surgery.png
